attributes;image_url;unit;category;article;sale_price;price;name;url;weight
Белки: 19;/imgs/products_w/14339/steyk-striployn-ohl----600-g-1.JPG;кг;Говядина и баранина;14339;;1985;Стейк Стриплойн из мраморной говядины охл. ~ 400 г;steyk-striployn-iz-mramornoy-govyadiny-ohl----400-g.html;0.4
Белки: ;/imgs/products_w/13350/biologicheski-aktivnaya-dobavka-k-pische-botanik-nelz-end-heir-shot-1.1631523440.jpg;шт;Суперфуды и протеины ;13350;;185.7;Биологически активная добавка к пище Ботаник Нэлз энд Хеир шот;biologicheski-aktivnaya-dobavka-k-pische-botanik-nelz-end-heir-shot.html;1
Белки: ;/imgs/products_w/4141/zubnaya-schetka-bambukovaya-zelenaya-1.jpg;шт;Уход за полостью рта;4141;;145.9;Зубная щетка бамбуковая зелёная Ecomarket.ru;zubnaya-schetka-bambukovaya-zelenaya-ecomarket-ru.html;1
Белки: ;/imgs/products_w/4142/zubnaya-schetka-bambukovaya-oranzhevaya-1.1603999338.jpg;шт;Уход за полостью рта;4142;;145.9;Зубная щетка бамбуковая оранжевая Ecomarket.ru;zubnaya-schetka-bambukovaya-oranzhevaya-ecomarket-ru.html;1
Белки: ;/imgs/products_w/11598/podarochnyy-nabor-for-soul-1.jpg;шт;Подарочные наборы;11598;;4350.33;Подарочный набор FOR SOUL;podarochnyy-nabor-for-soul.html;1
Белки: ;/imgs/products_w/12667/wish-formula---piling-c200--bubble-peeling-pad--1-sht---dlya-lica-1.jpg;шт;Уход за кожей лица;12667;;580.9;Спонж-пилинг для лица с витамином C, Bubble Peeling Pad C200, Wish Formula - 1 шт;wish-formula---piling-c200--bubble-peeling-pad--1-sht---dlya-lica.html;1
Белки: ;/imgs/products_w/12668/wish-formula-piling-dlya-lica-c-vitaminom-s-i-fruktovymi-kislotami-bubble-bubble-chef-cushion-1.jpg;шт;Уход за кожей лица;12668;;1800.9;Пилинг для лица с Витамином С и Фруктовыми кислотами Bubble Bubble Chef Cuchion, Wish Formula;wish-formula-piling-dlya-lica-c-vitaminom-s-i-fruktovymi-kislotami-bubble-bubble-chef-cushion.html;1
Белки: ;/imgs/products_w/1674/mandariny-bez-kostochek-kitay---500-g-1.jpg;кг;Фрукты;1674;;195.8;Мандарины без косточек Китай ~ 500 г;mandariny-bez-kostochek-kitay---500-g.html;0.5
Белки: 26;/imgs/products_w/13741/syr-gollandskiy-premer-iz-korovego-moloka-45----250-g-1.jpg;шт;Сыры ;13741;;329.7;Сыр Голландский Премьер из коровьего молока 45% Ecomarket.ru - 250 г;syr-gollandskiy-premer-iz-korovego-moloka-45----250-g.html;1
Белки: ;/imgs/products_w/8890/termokruzhka-ecomarket-zelenyy-izumrud---470-ml-1.1607511211.JPG;шт;Посуда ;8890;;1595.7;Термокружка Ecomarket.ru зелёный изумруд - 470 мл;termokruzhka-ecomarket-ru-zelenyy-izumrud---470-ml.html;1
Белки: ;/imgs/products_w/12475/kondicioner-rastitelnyy-uvlazhnyayuschiy-i-razglazhivayuschiy-granat-265-ml--daily-herbal-moisturizing-pomeg-1.jpg;шт;Уход за волосами;12475;;1790.9;Кондиционер Hempz растительный увлажняющий и разглаживающий Гранат - 265 мл;kondicioner-rastitelnyy-uvlazhnyayuschiy-i-razglazhivayuschiy-granat-265-ml--daily-herbal-moisturizing-pomeg.html;1
Белки: ;/imgs/products_w/13529/830569-gidrogelevye-patchi-beauugreen-s-ekstraktom-chernogo-morskogo-ogurca-small-90g-60-sht-1.JPG;шт;Уход за кожей лица;13529;;957.36;Гидрогелевые патчи BeauuGreen с экстрактом черного морского огурца Small 90г - 60 шт Южная Корея;830569-gidrogelevye-patchi-beauugreen-s-ekstraktom-chernogo-morskogo-ogurca-small-90g-60-sht.html;1
Белки: ;/imgs/products_w/13530/830552-gidrogelevye-patchi-dyal-kozhi-vokrug-glaz-beauugreen-s-kollagenom-i-zolotom--90gr-60-sht--1.JPG;шт;Уход за кожей лица;13530;;957.36;Гидрогелевые патчи для кожи вокруг глаз BeauuGreen с коллагеном и золотом 90 г - 60 шт Южная Корея;830552-gidrogelevye-patchi-dyal-kozhi-vokrug-glaz-beauugreen-s-kollagenom-i-zolotom--90gr-60-sht-.html;1
Белки: 0,5;/imgs/products_w/10484/klyukva-dikorastuschaya-b-z--300-g--1.jpg;шт;Фрукты и ягоды;10484;;218.9;Клюква дикорастущая зам. Ecomarket.ru  - 300 г;klyukva-dikorastuschaya-b-z--300-g-.html;1
Белки: ;/imgs/products_w/13300/kurica-supovaya---2kg-s-m-1.1634319527.jpg;кг;Птица и дичь;13300;;778;КУРИЦА СУПОВАЯ ~ 2кг С/М;kurica-supovaya---2kg-s-m.html;2
Белки: 3,5 г.;/imgs/products_w/246/ukrop---100-g-1.jpg;кг;Зелень и салаты ;246;49.9;49.9;Укроп ~ 50 г;ukrop---50-g.html;0.05
Белки: 19;/imgs/products_w/14337/steyk-denver-ohl----400-g-1.JPG;кг;Говядина и баранина;14337;;1885;Стейк Денвер из мраморной говядины охл. ~ 400 г;steyk-denver-iz-mramornoy-govyadiny-ohl----400-g.html;0.4
Белки: ;/imgs/products_w/12042/tushka-cyplenka-broylera-halyal-ohl----1-5kg-1.jpeg;кг;Птица и дичь | Детское питание;12042;518.25;465;Тушка цыплёнка для детского питания ~ 1,5 кг;tushka-cyplenka-dlya-detskogo-pitaniya-ohl----1-5-kg.html;1.5
Белки: ;/imgs/products_w/13351/biologicheski-aktivnaya-dobavka-k-pische-botanik-immuno-shot-1.1631523713.jpg;шт;Суперфуды и протеины ;13351;;185.7;Биологически активная добавка к пище Ботаник Иммуно шот;biologicheski-aktivnaya-dobavka-k-pische-botanik-immuno-shot.html;1
